movie_name,ranking,score,score_num
指环王2：双塔奇兵,47,8.9,267544
指环王1：魔戒再现,48,8.9,298764
死亡诗社,49,8.9,273023
情书,50,8.8,369129
控方证人,51,9.6,83362
天使爱美丽,52,8.7,476556
美国往事,53,9.1,171893
辩护人,54,9.1,195823
钢琴家,55,9.0,200014
七宗罪,56,8.7,429222
饮食男女,57,9.0,191616
狮子王,58,8.9,276745
被嫌弃的松子的一生,59,8.9,275352
致命魔术,60,8.8,335117
勇敢的心,61,8.8,291707
小鞋子,62,9.2,133805
剪刀手爱德华,63,8.7,475921
音乐之声,64,8.9,228019
低俗小说,65,8.7,327272
疯狂动物城,66,9.2,481637
入殓师,67,8.8,314005
本杰明·巴顿奇事,68,8.7,385504
沉默的羔羊,69,8.7,345915
素媛,70,9.1,170676
黑客帝国,71,8.8,274056
拯救大兵瑞恩,72,8.8,230801
蝴蝶效应,73,8.7,373420
西西里的美丽传说,74,8.7,337873
玛丽和马克思,75,8.9,229287
心灵捕手,76,8.7,263605
春光乍泄,77,8.8,238475
幽灵公主,78,8.8,229052
让子弹飞,79,8.7,608164
第六感,80,8.8,228800
阳光灿烂的日子,81,8.7,263409
大闹天宫,82,9.2,94756
大鱼,83,8.7,245863
重庆森林,84,8.6,319697
射雕英雄传之东成西就,85,8.7,268316
禁闭岛,86,8.6,348047
上帝之城,87,8.9,154649
甜蜜蜜,88,8.7,226933
阳光姐妹淘,89,8.8,261071
致命ID,90,8.6,308619
一一,91,8.9,150874
告白,92,8.7,331609
狩猎,93,9.0,121197
加勒比海盗,94,8.6,332027
布达佩斯大饭店,95,8.7,296933
断背山,96,8.6,308925
末代皇帝,97,8.9,156685
爱在黎明破晓前,98,8.7,212782
阿凡达,99,8.6,514150
摩登时代,100,9.2,84455
猫鼠游戏,101,8.7,213117
风之谷,102,8.8,170776
哈利·波特与魔法石,103,8.6,241548
爱在日落黄昏时,104,8.7,192440
侧耳倾听,105,8.8,162065
萤火虫之墓,106,8.7,197824
穿条纹睡衣的男孩,107,8.9,135366
驯龙高手,108,8.7,275239
超脱,109,8.8,165951
消失的爱人,110,8.7,337636
海洋,111,9.0,97101
幸福终点站,112,8.6,218794
菊次郎的夏天,113,8.7,173934
倩女幽魂,114,8.6,238318
七武士,115,9.2,73944
神偷奶爸,116,8.5,359941
恐怖直播,117,8.7,206543
岁月神偷,118,8.6,298228
电锯惊魂,119,8.7,192434
谍影重重3,120,8.7,174616
借东西的小人阿莉埃蒂,121,8.7,208619
燃情岁月,122,8.8,145360
真爱至上,123,8.5,299018
雨人,124,8.6,203584
红辣椒,125,8.8,124310
贫民窟的百万富翁,126,8.5,385011
杀人回忆,127,8.6,200283
东邪西毒,128,8.6,240521
记忆碎片,129,8.5,267980
虎口脱险,130,8.9,103837
疯狂原始人,131,8.7,357734
怪兽电力公司,132,8.6,229159
卢旺达饭店,133,8.8,114259
黑天鹅,134,8.5,402223
喜宴,135,8.8,132189
小森林 夏秋篇,136,8.9,119554
喜剧之王,137,8.5,294394
魂断蓝桥,138,8.8,125338
穿越时空的少女,139,8.6,178880
猜火车,140,8.5,241083
恋恋笔记本,141,8.5,269532
英雄本色,142,8.7,142555
雨中曲,143,8.9,89980
傲慢与偏见,144,8.4,288466
教父3,145,8.7,123748
完美的世界,146,9.0,75616
纵横四海,147,8.7,136332
萤火之森,148,8.7,148019
玩具总动员3,149,8.7,185458
人工智能,150,8.6,182419
二十二,151,8.9,72270
我是山姆,152,8.8,97676
7号房的礼物,153,8.7,163553
哈利·波特与死亡圣器(下),154,8.6,261280
花样年华,155,8.5,234466
浪潮,156,8.7,125696
香水,157,8.4,264612
冰川时代,158,8.4,258461
撞车,159,8.6,168028
朗读者,160,8.5,269260
追随,161,8.9,76959
荒蛮故事,162,8.7,122090
一次别离,163,8.7,126519
罗生门,164,8.7,117286
心迷宫,165,8.6,148098
时空恋旅人,166,8.6,185452
唐伯虎点秋香,167,8.4,302203
超能陆战队,168,8.6,347768
战争之王,169,8.5,167416
小森林 冬春篇,170,8.9,102809
梦之安魂曲,171,8.7,106835
可可西里,172,8.6,122994
碧海蓝天,173,8.7,105044
地球上的星星,174,8.8,79541
蝙蝠侠：黑暗骑士崛起,175,8.5,280288
秒速5厘米,176,8.3,279064
谍影重重2,177,8.5,151604
恐怖游轮,178,8.3,300972
海盗电台,179,8.6,160149
海边的曼彻斯特,180,8.6,132972
谍影重重,181,8.5,182979
未麻的部屋,182,8.8,88209
阿飞正传,183,8.5,170200
爆裂鼓手,184,8.6,222848
达拉斯买家俱乐部,185,8.6,158772
牯岭街少年杀人事件,186,8.7,100030
惊魂记,187,8.8,77725
魔女宅急便,188,8.4,183206
再次出发之纽约遇见你,189,8.5,156317
绿里奇迹,190,8.7,101100
迁徙的鸟,191,9.1,50194
勇闯夺命岛,192,8.5,135821
东京物语,193,9.2,47503
被解救的姜戈,194,8.5,247245
荒野生存,195,8.6,121316
末路狂花,196,8.7,98832
卡萨布兰卡,197,8.6,118514
终结者2：审判日,198,8.5,133844
青蛇,199,8.4,207353
燕尾蝶,200,8.6,104328
忠犬八公物语,201,9.0,53049
这个男人来自地球,202,8.5,167660
变脸,203,8.4,204217
哪吒闹海,204,8.8,74739
英国病人,205,8.4,167371
E.T. 外星人,206,8.5,144702
源代码,207,8.3,389152
新龙门客栈,208,8.4,172435
发条橙,209,8.4,177514
黄金三镖客,210,9.1,48359
黑客帝国3：矩阵革命,211,8.5,146143
叫我第一名,212,8.6,103771
美国丽人,213,8.4,175265
城市之光,214,9.2,40404
穆赫兰道,215,8.3,222457
非常嫌疑犯,216,8.6,109790
无耻混蛋,217,8.4,212130
初恋这件小事,218,8.2,433818
上帝也疯狂,219,8.6,91467
勇士,220,8.9,83276
模仿游戏,221,8.5,237669
